BRKYPA11,ÉÇÅ[É^Å[ê¨ê—èWåvï\,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022îN 5åé18ì˙ 09:34:18 I,2022îN 5åé17ì˙ åªç›,,,,,,,,,,,,,,,,,,,,,,,,,,,,
èZîVç],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
èWåvä˙ä‘:2022îN 5åé18ì˙à»ëOÅ@ëSêﬂ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
èoóÕèáéwíË:ÉÇÅ[É^Å[î‘çÜèá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÅyíçÅFèoëñâÒêîÇ…ÇÕëIéËê”îCäOéñåÃâÒêîÇÕä‹Ç›Ç‹ÇπÇÒÅz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
èüó¶ÇÃï\é¶è¨êîì_à»â∫ëÊ2à ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2òAó¶ÇÃï\é¶è¨êîì_à»â∫ëÊ2à ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÉÇÅ[É^Å[,,,,,,,íÖâÒêî,,,,,,,,éñåÃâÒêî,,,,,,,,,,,,,,
î‘çÜ,ÉÇÅ[É^Å[ãâï ,èWåvä˙ä‘,êﬂêî,èüó¶,2òAó¶,éñåÃó¶,1íÖ,2íÖ,3íÖ,4íÖ,5íÖ,6íÖ,èoëñâÒêî,íÖèáì_,F,L0,L1,K0,K1,S0,S1,S2,ïsó«,ë“ã@,éñåÃì_,óDèoâÒêî,óDèüâÒêî,ç≈çÇÉ^ÉCÉÄ(1800m),îıçl
30,C,2022/03/22Å`2022/05/17,4,5.71,38.24,0.88,7,6,8,5,2,4,34,194,1,0,0,0,0,0,1,0,0,0,30,1,1,"1'46""7",
31,C,2022/03/22Å`2022/05/17,5,5.29,29.41,0,7,3,8,6,4,6,34,180,0,0,0,1,0,1,0,0,0,0,0,0,0,"1'49""4",
32,C,2022/03/22Å`2022/05/06,4,6.72,59.38,0.69,11,8,2,5,4,1,32,215,1,0,0,0,0,0,0,0,0,1,22,1,0,"1'48""1",
33,C,2022/03/22Å`2022/05/06,5,4.12,23.81,0,3,7,6,5,10,11,42,173,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'49""1",
34,C,2022/03/22Å`2022/05/06,4,5.7,39.39,0,8,5,5,6,5,4,33,188,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'48""5",
35,C,2022/03/22Å`2022/05/17,4,5.91,40,0,8,6,9,3,4,5,35,207,0,0,0,0,0,0,0,0,0,0,0,1,0,"1'48""6",
36,C,2022/03/22Å`2022/05/17,5,4.17,19.51,0.24,5,3,8,5,10,9,41,171,0,0,0,0,0,0,1,0,0,0,10,0,0,"1'49""2",
37,C,2022/03/22Å`2022/05/17,5,5.98,40,0.05,8,8,7,11,3,3,40,239,0,0,0,0,0,0,0,0,0,1,2,2,0,"1'48""3",
38,C,2022/03/22Å`2022/05/06,4,5.34,40.63,0,5,8,4,4,6,5,32,171,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'48""5",
39,C,2022/03/22Å`2022/05/17,4,5.69,42.86,0.06,9,6,5,4,4,7,35,199,0,0,0,0,0,0,0,0,0,1,2,0,0,"1'48""7",
50,C,2022/03/22Å`2022/05/17,4,6,50,0.33,10,8,2,7,4,4,36,216,0,0,0,0,0,0,1,0,0,1,12,1,1,"1'47""9",
51,C,2022/03/22Å`2022/05/06,4,5.69,41.03,0,6,10,6,7,8,2,39,222,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'48""9",
52,C,2022/03/22Å`2022/05/06,5,4.27,24.32,0,3,6,5,7,6,10,37,158,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'49""4",
